http://cloc.sourceforge.net v 1.60  T=1.19 s (151.5 files/s, 16527.0 lines/s)
-------------------------------------------------------------------------------------------------------
File                                                                blank        comment           code
Lib\Exceptions\Exceptions_BuildRefs.d.ts                                3             11              1
Lib\Build Parts\UI\UIRefs.d.ts                                          3             51              1
Lib\Build Parts\Collections\CollectionsRefs.d.ts                        3             10              1
Lib\Build Parts\Animation\AnimationRefs.d.ts                            3             17              1
Lib\UI\UI_BuildRefs.d.ts                                                3             51              1
Definitions\jquery_all.d.ts                                             3             11              1
Lib\Collections\Collections_BuildRefs.d.ts                              3             10              1
Lib\Data\Data_BuildRefs.d.ts                                            3             29              0
Lib\Build Parts\Events\EventsRefs.d.ts                                  3             19              0
Lib\BuildRefs.d.ts                                                      3             16              0
Lib\Events\Events_BuildRefs.d.ts                                        3             19              0
Lib\Build Parts\Data\DataRefs.d.ts                                      3             29              0
-------------------------------------------------------------------------------------------------------
SUM:                                                                 2614           3411          13609
-------------------------------------------------------------------------------------------------------
